Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1635386814.1523125,37.875905,-122.259058333,6.0,30.0
1635386824.606878,37.8759,-122.259046667,4.0,33.2
1635386835.1713161,37.875845,-122.258981667,4.0,29.0
1635386845.942351,37.875848333,-122.25898,4.0,32.8
1635386856.5327916,37.87584,-122.258981667,5.0,39.4
1635386867.2928145,37.875846667,-122.259,5.0,38.4
1635386878.1596308,37.875845,-122.258998333,5.0,35.0
1635386889.0005507,37.875856667,-122.25899,4.0,34.4
1635386900.3056633,37.875855,-122.258998333,4.0,36.4
1635386911.3282564,37.87585,-122.258998333,4.0,37.6
1635386922.2539723,37.875858333,-122.259001667,4.0,33.0
1635386933.1821465,37.87586,-122.258996667,4.0,38.6
1635386944.15324,37.875868333,-122.258996667,4.5,34.4
1635386955.0948594,37.87587,-122.258993333,5.0,31.8
1635386966.332371,37.87588,-122.258996667,4.0,35.6
1635386977.5212195,37.875893333,-122.259013333,4.0,39.2
1635386988.8752277,37.875896667,-122.25902,4.0,31.8
1635387000.1042297,37.875893333,-122.259025,4.0,40.4
1635387011.5380256,37.875888333,-122.259021667,3.5,37.6
1635387023.1955762,37.875895,-122.259026667,3.0,35.8
1635387034.7167532,37.875853333,-122.259035,3.0,36.0
1635387046.3400857,37.875751667,-122.259016667,3.0,35.8
1635387058.3962295,37.875601667,-122.258968333,3.0,32.6
1635387069.8754444,37.8755,-122.258945,3.0,31.8
1635387081.5039055,37.875406667,-122.259015,3.0,32.6
1635387093.0494661,37.875345,-122.259211667,3.0,37.6
1635387104.530754,37.875283333,-122.259325,3.0,32.8
1635387116.2060077,37.875233333,-122.259505,3.0,30.2
1635387128.0447,37.875173333,-122.259713333,3.0,27.8
1635387139.6581054,37.875158333,-122.259841667,3.0,32.4
1635387151.451333,37.87515,-122.259968333,3.0,29.2
1635387163.2214499,37.87511,-122.260038333,3.0,27.4
1635387175.1151366,37.875013333,-122.260063333,3.0,33.2
1635387187.092527,37.874915,-122.26009,3.0,31.4
1635387199.8004036,37.874748333,-122.260071667,4.0,31.0
1635387211.917596,37.874628333,-122.26008,4.0,34.6
1635387224.0247388,37.87446,-122.260076667,4.0,30.8
1635387236.1732504,37.874356667,-122.260076667,4.0,37.2
1635387248.3933904,37.87421,-122.260028333,4.0,30.6
1635387260.4151094,37.874113333,-122.259986667,4.0,35.4
1635387272.7477098,37.874043333,-122.259963333,4.0,37.0
1635387284.8194704,37.873905,-122.259926667,4.0,37.0
1635387297.1185076,37.873816667,-122.259893333,4.0,33.6
1635387309.5113811,37.873651667,-122.259863333,4.0,36.2
1635387321.9524236,37.873546667,-122.259846667,4.0,34.0
1635387334.9476922,37.873448333,-122.259858333,4.0,32.8
1635387347.386649,37.873458333,-122.259848333,3.0,36.0
1635387360.0388708,37.873461667,-122.259855,3.0,35.8
1635387372.545633,37.873423333,-122.259881667,3.0,31.8
1635387385.1474667,37.873265,-122.259973333,4.0,31.2
1635387397.7093618,0,0,4.0,31.0
1635387410.4696386,0,0,3.0,35.2
1637189196.4327154,37.87283,-122.260121667,4.0,34.4
1637189210.8402834,37.872701667,-122.260138333,4.0,35.0
1637189225.4706576,37.872528333,-122.26019,4.0,34.6
1637189239.3388193,37.872388333,-122.260208333,3.0,27.4
1637189253.0871,37.872228333,-122.260175,4.0,30.2
1637189266.9302258,37.872091667,-122.260108333,4.0,31.4
1637189280.582095,37.871951667,-122.260003333,4.0,32.0
1637189294.1702683,37.871825,-122.259958333,4.0,29.4
1637189307.680668,37.871811667,-122.259915,4.0,28.4
1637189321.8245792,37.871816667,-122.259925,4.0,31.2
1637189336.12605,37.871836667,-122.259985,4.0,26.0
1637189350.7038443,37.871838333,-122.259978333,4.0,25.4
1637189364.726521,37.871845,-122.259985,4.0,25.4
1637189379.7761006,37.871866667,-122.259943333,4.0,27.4
1637189393.8886642,37.871845,-122.25996,4.0,30.0
1637189408.3941424,37.87179,-122.259973333,4.0,32.4
1637189422.7349641,37.871653333,-122.259971667,4.0,25.2
1637189436.6860402,37.871546667,-122.2599,4.0,34.2
1637189451.3716,37.871418333,-122.259865,4.0,31.0
1637189465.4636693,37.871288333,-122.25986,4.0,27.0
1637189481.018465,37.871095,-122.259785,5.0,28.6
1637189495.859995,37.870953333,-122.259711667,5.5,29.8
1637189510.7620952,37.87077,-122.259698333,5.0,30.6
1637189525.190355,37.870611667,-122.259671667,5.0,25.0
1637189540.1480737,37.87047,-122.25962,5.0,38.8
1637189554.84154,37.870316667,-122.259563333,5.0,40.4
1637189569.4650474,37.870126667,-122.25949,5.0,33.2
1637189584.8574188,37.869958333,-122.259456667,5.0,36.8
1637189600.259843,37.869785,-122.25945,4.0,34.0
1637189615.499778,37.869683333,-122.259371667,4.0,36.8
1637189630.8440588,37.869488333,-122.259353333,5.0,40.8
1637189645.3590941,37.869325,-122.25932,5.0,36.6
1637189660.8228443,37.869161667,-122.259208333,5.0,33.0
1637189675.5000167,37.868966667,-122.259103333,5.0,33.8
1637189690.4619007,37.868816667,-122.259015,5.0,31.8
1637189705.564244,37.86876,-122.259058333,5.0,30.4
1637189721.0265315,37.868561667,-122.259065,5.0,28.6
1637189736.3619602,37.868401667,-122.259015,4.5,24.4
1637189752.215485,37.868196667,-122.258945,5.0,32.4
