Time,Temperature,Pressure,Humidity,PM 1,PM 2.5,PM 10
1631084776.4428644,21.624609375,1003.7068562615062,47.101164964194474,7168,1024,1792
1631084777.5715218,21.6296875,1003.71667313855,47.180784023991855,7168,1024,1792
1631084778.698374,21.61953125,1003.7620998162006,46.794681865585886,7168,1024,1792
1631084779.825594,21.609375,1003.7546954339724,46.990706763419304,7168,1024,1792
1631084780.952561,21.609375,1003.7298196239243,47.13778662394022,7168,1024,1792
1631084782.079569,21.614453125,1003.7263253767375,47.26657855154044,7168,1280,2048
1631084783.2068598,21.604296875,1003.7315667476306,47.43810802392027,7168,1280,2048
1631084784.334101,21.614453125,1003.7140955139557,47.25422033605415,7168,1280,2048
1631084785.4614563,21.604296875,1003.7357265137101,46.757817309710596,7168,1280,2048
1631084786.589866,21.604296875,1003.7472908643755,46.88039269402172,7168,1280,2048
1631084787.717289,21.604296875,1003.7031971040774,47.315603024082954,7168,1280,2048
1631084788.844511,21.604296875,1003.7112669815634,47.143914813432595,7168,1280,2304
1631084789.9716191,21.609375,1003.7178393011044,46.8986847168252,7168,1280,2048
1631084791.0988302,21.59921875,1003.7287380744478,47.38285310928347,7168,1280,2048
1631084792.2260125,21.5939453125,1003.7084383882376,47.42579959330558,7168,1280,2048
1631084793.353203,21.604296875,1003.7178393011044,46.5922031738349,7168,1280,2048
1631084794.4803865,21.604296875,1003.7322322939285,46.684136444556174,7168,1280,2048
1631084795.609017,21.604296875,1003.7514505064548,46.917070123696455,7168,1280,2304
1631084796.7373705,21.604296875,1003.7311506274293,47.033557225180395,7168,1280,2304
1631084797.8648734,21.604296875,1003.7088541453217,47.00914029032487,7168,1280,2048
1631084798.9922352,21.604296875,1003.7197523959316,47.027477324836234,7168,1280,2048
1631084800.1196215,21.609375,1003.6979558205946,46.81293081391399,7168,1280,2048
1631084801.2468383,21.5939453125,1003.6966242878107,46.65362476022823,7168,1280,2048
1631084802.3741589,21.5736328125,1003.7330834205507,46.38368700254558,7168,1280,2048
1631084803.5026586,21.5685546875,1003.7029668817922,46.30392693816803,7168,1280,2048
1631084804.6300907,21.5583984375,1003.7361595610727,46.54904039658489,7168,1280,2048
1631084805.758324,21.548046875,1003.717542880275,47.223121980278115,7168,1280,2048
1631084806.8855684,21.553125,1003.7647754782674,46.98404863662242,7168,1280,2048
1631084808.0128913,21.548046875,1003.6826043619513,46.72662875749799,7168,1280,2048
1631084809.1405826,21.5328125,1003.6920032843236,46.74492230430213,7168,1280,2048
1631084810.267979,21.527734375,1003.713384795624,47.10032282037923,7168,1280,2048
1631084811.395339,21.52265625,1003.7258585326022,47.608793390809886,7168,1280,2048
1631084812.5225868,21.5123046875,1003.7068872908269,47.35121590942027,7168,1280,2048
1631084813.6510797,21.5021484375,1003.7079039893968,46.68950040776114,7168,1280,2048
1631084814.7784717,21.5021484375,1003.6869420585732,46.52409595043839,7168,1280,2048
1631084815.9056916,21.4919921875,1003.6749580629538,46.00919574200313,7168,1280,2048
1631084817.0329611,21.4765625,1003.6902586151872,45.80067571866161,7168,1280,2048
1631084818.1602895,21.46640625,1003.7017543776317,45.721034529387886,7168,1280,2048
1631084819.287622,21.451171875,1003.708982015117,45.89858994980305,7168,1280,2048
1631084820.4149544,21.44609375,1003.7310267801059,46.5174931159923,7168,1280,2048
1631084821.545633,21.441015625,1003.7148842866834,46.02717003411966,7168,1280,2048
1631084822.6731813,21.4357421875,1003.7179549971893,46.25389364625588,7168,1280,2048
1631084823.800705,21.4205078125,1003.7248695465755,46.44983849464731,7168,1280,2048
1631084824.9280407,21.4052734375,1003.6947539618085,46.13114784934221,7168,1280,2048
1631084826.0554655,21.394921875,1003.7436580959624,46.357769033327834,7168,1280,2048
1631084827.1829016,21.38984375,1003.7229360173739,46.50472275057076,7168,1280,2048
1631084828.3102634,21.394921875,1003.7310077374909,46.3086308432582,7168,1280,2048
1631084829.4376473,21.36953125,1003.7235220053044,46.210484177123114,7168,1280,2048
1631084830.5661337,21.374609375,1003.7056318413838,46.68837217460299,7168,1280,2048
1631084831.694553,21.3541015625,1003.7086988872271,47.135377886198135,7168,1280,2048
1631084832.8226967,21.3490234375,1003.7209238410745,47.44155117241926,7168,1280,2048
1631084833.9500725,21.3287109375,1003.6868119764986,46.79227830774216,7168,1024,1792
1631084835.0775273,21.3185546875,1003.6745877205249,46.9941131837934,7168,1024,1792
1631084836.2048821,21.3236328125,1003.7333034595383,47.820937310224956,7168,1024,1792
1631084837.3322537,21.31328125,1003.7182457945008,48.133018870970936,7168,1024,1792
1631084838.459593,21.31328125,1003.7182457945008,47.698301736008936,7168,1024,1792
1631084839.5876355,21.308203125,1003.7223976762409,47.75941571997256,7168,1024,1792
1631084840.7155461,21.303125,1003.7467656830632,47.63077606009549,7168,1024,1792
1631084841.842834,21.303125,1003.7244926111478,47.37354403739522,7168,1024,1792
1631084842.9702778,21.29296875,1003.7297314986478,47.251020747051896,7168,1024,1792
1631084844.097582,21.287890625,1003.7461069825346,47.483710349419084,7168,1024,1792
1631084845.2249217,21.287890625,1003.7323665685594,47.59398179809205,7168,1024,1792
1631084846.3523138,21.2775390625,1003.7085778830851,47.22642332012942,7168,1024,1792
1631084847.4795804,21.2828125,1003.7127288595913,47.208052698257795,7168,1024,1792
1631084848.6080823,21.2724609375,1003.7539797652031,47.15299083125509,7168,1024,1792
1631084849.734882,21.2673828125,1003.7801731818627,47.067158342828456,7168,1024,1792
1631084850.8622673,21.2724609375,1003.7196317545627,47.14059196118793,7168,1024,1792
1631084851.9895678,21.2673828125,1003.7343416447104,47.1712603414741,7168,1024,1792
1631084853.1169531,21.2572265625,1003.7064024790358,47.06098503126967,7168,1024,1792
1631084854.2452574,21.2673828125,1003.7179674943723,47.152889632079315,7168,1024,1792
1631084855.3725848,21.2623046875,1003.718625861649,46.93865365156223,7168,1024,1792
1631084856.5000012,21.2572265625,1003.7074902254873,46.60172220708775,7168,1024,1792
1631084857.6279023,21.2724609375,1003.69220306299,46.78545460534254,7168,1024,1792
1631084858.755269,21.2775390625,1003.7033392076512,46.975300991939086,7168,1024,1792
1631084859.882569,21.29296875,1003.6917743272371,47.22642332012942,7168,1024,1792
1631084861.0098329,21.2724609375,1003.7260401394207,47.48972466214865,7168,1024,1792
1631084862.1371908,21.2775390625,1003.7057440142697,47.81434713113047,7168,1024,1792
1631084863.2645357,21.2775390625,1003.7271278481851,48.07136465335164,7168,1024,1792
1631084864.3918407,21.287890625,1003.7085778830851,48.14495175927722,7168,768,1792
1631084865.5192218,21.2724609375,1003.7155627847168,48.26120470320639,7168,768,1792
1631084866.6480336,21.2828125,1003.7159916918338,47.912366667438306,7168,768,1792
1631084867.77575,21.2673828125,1003.7100940555035,47.826592320370935,7168,768,1792
1631084868.9030206,21.29296875,1003.7055141722614,48.163379868652015,7168,768,1792
1631084870.0302825,21.298046875,1003.7384629793193,47.459325594708254,7168,768,1792
1631084871.1576095,21.298046875,1003.717079124862,47.03066160827023,7168,768,1792
1631084872.2847514,21.298046875,1003.6954648159808,47.226680382465716,7168,768,1792
1631084873.4121044,21.298046875,1003.702021666339,47.085778576323996,7168,768,1792
1631084874.5406976,21.303125,1003.7216590321617,46.448774414080425,7168,768,1792
1631084875.668031,21.298046875,1003.6915441503771,46.31405974278078,7168,768,1792
1631084876.7954059,21.29296875,1003.7338830055052,46.73056466823916,7168,768,1792
1631084877.922797,21.298046875,1003.6978701870221,46.67544194403662,7168,768,1792
1631084879.0500963,21.298046875,1003.7059425004221,46.99396519449998,7168,768,1792
1631084880.1772544,21.303125,1003.7014419601857,46.81027983697072,7168,768,1792
1631084881.3047903,21.303125,1003.6972899131246,46.75510936506299,7168,768,1792
1631084882.4322631,21.308203125,1003.7140148381787,47.17161776667247,7168,768,1792
1631084883.560893,21.308203125,1003.7269774149381,47.71661421916509,7168,768,1792
1631084884.6890802,21.298046875,1003.736288071804,48.50014175168845,7168,768,1792
1631084885.8172674,21.29296875,1003.7183966490655,48.32254936747236,7168,768,1792
1631084886.9454622,21.287890625,1003.702021666339,48.20629653590436,7168,768,1536
1631084888.0737407,21.287890625,1003.6963543081257,47.94904178692371,7168,768,1536
1631084889.2029343,21.287890625,1003.7114116911239,47.75912818724691,7168,768,1536
1631084890.3310907,21.287890625,1003.6935205378529,48.218289537445365,7168,768,1536
1631084891.459304,21.287890625,1003.6841307368522,48.206171310051765,7168,768,1536
1631084892.5879154,21.2828125,1003.7194841989597,48.353093733058,7168,768,1536
1631084893.7161486,21.287890625,1003.6956955401554,48.1878055605987,7168,768,1536
1631084894.8446712,21.2775390625,1003.6915441503771,47.7530630756915,7168,768,1536
1631084895.972717,21.287890625,1003.6760584350794,47.869450135374684,7168,768,1536
1631084897.1007977,21.2828125,1003.7173090103126,47.39180777760837,7168,512,1280
1631084898.2288826,21.29296875,1003.7190552359837,47.13456921842281,7168,512,1280
1631084899.3571055,21.2673828125,1003.6981005328943,47.17753651200867,7168,512,1280
1631084900.485322,21.2673828125,1003.6882819062312,47.024341021624835,7168,512,1280
1631084901.614657,21.2775390625,1003.7197137061163,46.98759749548005,7168,512,1280
1631084902.7432718,21.2775390625,1003.7057440142697,46.944681323683874,7168,512,1280
1631084903.8716257,21.2673828125,1003.6911156342716,46.840666442095895,7168,768,1536
1631084904.9997852,21.2623046875,1003.7173090103126,46.65076334287946,7168,768,1536
1631084906.1280532,21.2775390625,1003.6819557248662,46.5894730277105,7168,768,1536
1631084907.256892,21.2724609375,1003.6690735960761,46.75478716628112,7168,768,1536
1631084908.3850312,21.2724609375,1003.6732247448069,46.852820665041975,7168,768,1536
1631084909.512326,21.2775390625,1003.6725660154275,46.944681323683874,7168,512,1280
1631084910.6401386,21.2673828125,1003.6935205378529,46.99367266058211,7168,512,1280
1631084911.7722743,21.2673828125,1003.6812970651217,47.03663803828371,7168,512,1280
1631084912.8995614,21.29296875,1003.7013627204977,47.177485648879205,7168,512,1280
1631084914.026812,21.298046875,1003.689566711782,47.14094506054809,7168,512,1280
1631084915.1541402,21.308203125,1003.677342654113,47.300272517142666,7168,512,1280
1631084916.2825704,21.3236328125,1003.685065653991,47.141098159160634,7168,512,1280
1631084917.409978,21.3388671875,1003.6974838025722,46.79830903088658,7168,512,1280
1631084918.5386696,21.3439453125,1003.6859954112911,46.92698239631476,7168,512,1280
1631084919.6661062,21.3439453125,1003.6845988556612,47.14762749584487,7168,512,1280
1631084920.7952666,21.3490234375,1003.6556456120728,47.30079599017881,7168,512,1280
1631084921.9233196,21.3796875,1003.6462526020617,47.496831488558314,7168,512,1280
1631084923.0515604,21.3490234375,1003.6555703974373,48.76411983486419,7168,512,1280
1631084924.1806066,21.3541015625,1003.7003924932392,49.17433000392413,7168,512,1280
1631084925.309063,21.3541015625,1003.7335750429252,48.74596021688851,7168,512,1280
1631084926.4372177,21.364453125,1003.7021389425456,48.91125167887282,7168,512,1280
1631084927.5662668,21.36953125,1003.6968995948523,49.29675065412277,7168,512,1280
1631084928.694576,21.364453125,1003.6868459801798,49.20523099869383,7168,768,1792
1631084929.8238883,21.364453125,1003.6685312076847,49.382518384635276,7168,1536,2816
1631084930.95209,21.3490234375,1003.6915844809995,50.05557660136336,7168,2048,3584
1631084932.0802884,21.3490234375,1003.6958135998314,49.688308254933396,7168,2048,3840
1631084933.2084503,21.364453125,1003.7381541726572,49.223521003869315,7168,2048,3840
1631084934.337212,21.374609375,1003.6829280043141,48.72773077167234,7168,2048,3840
1631084935.4655545,21.38984375,1003.662158316326,48.427860718222576,7168,2048,3584
1631084936.5954957,21.4052734375,1003.6733716675319,48.44635964136469,7168,2048,3584
1631084937.722984,21.394921875,1003.700655111492,49.211650721880424,7168,2048,3584
1631084938.8520033,21.38984375,1003.7076413579518,49.76875442282994,7168,2048,3584
1631084939.9793193,21.4001953125,1003.7251069793685,49.352596415300766,7168,2048,3584
1631084941.1101084,21.4001953125,1003.7045719152475,48.68528461426363,7168,2048,3584
1631084942.2372885,21.4001953125,1003.6783730805323,48.39144541606022,7168,1792,3328
1631084943.3657231,21.4205078125,1003.6864442685137,48.409879998245216,7168,1536,2816
1631084944.4930265,21.4205078125,1003.6795287927652,48.10988545934214,7168,1536,2816
1631084945.6210525,21.4357421875,1003.6830220825714,47.950717684371014,7168,1536,2816
1631084946.7488177,21.44609375,1003.6725422140559,47.84053597721982,7168,1536,2560
1631084947.876261,21.44609375,1003.709644264231,47.718155077466264,7168,1536,2560
1631084949.004477,21.441015625,1003.6873592318301,47.632460188702346,7168,1280,2304
1631084950.1325798,21.46640625,1003.6738067148938,47.58963878602576,7168,1280,2048
1631084951.259826,21.471484375,1003.6633263463345,47.53456486257527,7168,1280,2048
1631084952.3876605,21.471484375,1003.6756213688082,47.534785031125104,7168,1280,2048
1631084953.5150816,21.4818359375,1003.6900158311895,47.36320609926785,7168,1280,2048
1631084954.6430404,21.4919921875,1003.6627305716803,47.16119184787722,7168,768,1792
1631084955.7702863,21.4919921875,1003.687605603679,47.130658379824695,7168,768,1792
1631084956.8977506,21.5021484375,1003.6421884862049,47.008120238071875,7168,768,1792
1631084958.0249596,21.5072265625,1003.6530884303029,46.98375831757375,7168,768,1792
1631084959.153126,21.517578125,1003.6706220423575,46.86121061975797,7168,768,1792
1631084960.2803178,21.52265625,1003.6531532183517,46.77547032811344,7168,768,1792
1631084961.4076307,21.5328125,1003.6577295244092,46.561079879958996,7168,768,1792
1631084962.53546,21.5328125,1003.6738697370754,46.5060104178591,7168,768,1536
1631084963.6627424,21.527734375,1003.6651351140816,47.32084562902484,7168,768,1536
1631084964.790087,21.527734375,1003.6385136710051,47.64560657447451,7168,768,1536
1631084965.917268,21.517578125,1003.6350198804555,48.51516637998934,7168,512,1280
1631084967.0441706,21.5021484375,1003.6786922839659,49.48896710941942,7168,768,1536
1631084968.1715221,21.5123046875,1003.6811033403742,48.41117808225702,7168,768,1536
1631084969.2988555,21.517578125,1003.6765267751932,47.51060896436835,7168,768,1792
1631084970.426092,21.5123046875,1003.6939954697045,47.02057029272262,7168,768,1792
1631084971.5541282,21.5123046875,1003.7044766900248,46.80601662988251,7168,768,1792
1631084972.6815257,21.5072265625,1003.6859250191295,47.143113652057885,7168,768,1792
1631084973.808827,21.5021484375,1003.6799547507075,47.18574863979554,7168,768,1792
1631084974.9360664,21.5021484375,1003.6806183515249,46.775285605679414,7168,768,1792
1631084976.062945,21.5072265625,1003.6712206175686,46.609796910276636,7168,768,1792
1631084977.190174,21.4919921875,1003.6851952314938,46.56685958907933,7168,768,1792
